short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,5 + 2,0,"€57,789,435","€57,789,435"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,5 + 1,6,"€421,292.90","€2,527,757"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,5 + 0,3,"€297,383.20","€892,150"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,4 + 2,62,"€4,796.50","€297,383"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,4 + 1,929,€288.10,"€267,645"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,4 + 0,"1,688",€123.30,"€208,130"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,3 + 2,"3,417",€52.20,"€178,367"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,2 + 2,"48,121",€19.30,"€928,735"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,3 + 1,"45,422",€19.30,"€876,645"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,3 + 0,"76,881",€16.60,"€1,276,225"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,1 + 2,"254,184",€9.10,"€2,313,074"
01.01.2021,Friday,"Friday, 1st January 2021","€57,789,435",17 36 38 43 46,04 06,2 + 1,"669,714",€8.40,"€5,625,598"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,5 + 2,0,"€74,024,967","€74,024,967"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,5 + 1,11,"€270,341.00","€2,973,751"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,5 + 0,19,"€55,239.90","€1,049,558"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,4 + 2,67,"€5,221.60","€349,847"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,4 + 1,"1,603",€196.40,"€314,829"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,4 + 0,"2,511",€97.50,"€244,823"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,3 + 2,"2,915",€72.00,"€209,880"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,2 + 2,"43,058",€25.10,"€1,080,756"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,3 + 1,"61,681",€17.00,"€1,048,577"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,3 + 0,"101,893",€14.70,"€1,497,827"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,1 + 2,"223,174",€12.20,"€2,722,723"
08.01.2021,Friday,"Friday, 8th January 2021","€74,024,967",08 22 25 38 50,08 09,2 + 1,"858,814",€7.70,"€6,612,868"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,5 + 2,1,"€88,618,590","€88,618,590"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,5 + 1,7,"€1,146,823.90","€8,027,767"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,5 + 0,14,"€94,948.40","€1,329,278"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,4 + 2,94,"€4,713.70","€443,088"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,4 + 1,"1,439",€277.10,"€398,747"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,4 + 0,"2,547",€121.70,"€309,970"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,3 + 2,"4,817",€55.10,"€265,417"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,2 + 2,"71,484",€19.20,"€1,372,493"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,3 + 1,"68,801",€19.20,"€1,320,979"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,3 + 0,"118,958",€16.00,"€1,903,328"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,1 + 2,"376,379",€9.10,"€3,425,049"
15.01.2021,Friday,"Friday, 15th January 2021","€88,618,590",10 19 32 36 46,04 06,2 + 1,"1,014,152",€8.30,"€8,417,462"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,5 + 2,1,"€13,778,439","€13,778,439"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,5 + 1,0,€0.00,€0
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,5 + 0,6,"€116,285.90","€697,715"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,4 + 2,41,"€5,672.40","€232,568"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,4 + 1,622,€336.50,"€209,303"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,4 + 0,"1,097",€148.40,"€162,795"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,3 + 2,"1,767",€78.90,"€139,416"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,2 + 2,"28,872",€24.90,"€718,913"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,3 + 1,"27,992",€24.90,"€697,001"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,3 + 0,"49,787",€20.00,"€995,740"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,1 + 2,"173,387",€10.40,"€1,803,225"
22.01.2021,Friday,"Friday, 22nd January 2021","€13,778,439",38 40 41 46 48,02 06,2 + 1,"450,222",€9.80,"€4,412,176"
29.01.2021,Friday,"Friday, 29th January 2021","€11,125,844",16 30 33 36 43,04 08,5 + 2,1,"€11,125,844","€11,125,844"
