short_date,weekday,draw_date,jackpot,main_numbers,euro_numbers,Match,# of winners,prize / winner,prize fund
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 2,0,28695885.0,28695885
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 1,3,635080.6,1905242
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 0,20,53723.3,1074466
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 2,32,5538.4,177229
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 1,898,246.7,221537
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 0,2567,69.0,177123
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 2,1276,190.9,243588
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",2 + 2,17015,33.2,564898
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 1,34718,18.1,628396
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 0,92495,14.9,1378176
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",1 + 2,87538,14.9,1304316
2012-01-06,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",2 + 1,459029,9.7,4452581
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 2,0,28695885.0,28695885
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 1,3,635080.6,1905242
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 0,20,53723.3,1074466
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 2,32,5538.4,177229
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 1,898,246.7,221537
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 0,2567,69.0,177123
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 2,1276,190.9,243588
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",2 + 2,17015,33.2,564898
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 1,34718,18.1,628396
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 0,92495,14.9,1378176
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",1 + 2,87538,14.9,1304316
2012-01-13,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",2 + 1,459029,9.7,4452581
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 2,0,28695885.0,28695885
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 1,3,635080.6,1905242
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",5 + 0,20,53723.3,1074466
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 2,32,5538.4,177229
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 1,898,246.7,221537
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",4 + 0,2567,69.0,177123
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 2,1276,190.9,243588
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",2 + 2,17015,33.2,564898
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 1,34718,18.1,628396
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",3 + 0,92495,14.9,1378176
2012-01-20,Friday,"Friday, 3rd October 2025",28695885.0,"[1, 2, 7, 21, 27]","[8, 12]",1 + 2,87538,14.9,1304316
